,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation,Standard Deviation
,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,MntAll,Children,IsParent,AcceptedAnyDeal,IncomePerPerson,IsPartner,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,MntAll,Children,IsParent,AcceptedAnyDeal,IncomePerPerson,IsPartner
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,56564.57796101949,0.3553223388305847,0.6904047976011994,47.30734632683658,397.86356821589203,29.086206896551722,178.85532233883058,40.11469265367317,29.955772113943027,53.279610194902546,2.7961019490254873,5.044227886056971,3.1176911544227885,6.519490254872563,5.436281859070465,0.12218890554722639,0.12143928035982009,0.09970014992503748,0.08845577211394302,0.022488755622188907,0.014992503748125937,0.24737631184407796,45.53973013493253,729.1551724137931,1.0457271364317842,0.8050974512743628,0.41304347826086957,33355.06290604697,0.6289355322338831,18902.517506976918,0.5461295385839839,0.5361200819243134,29.333225198222383,352.67807393289985,40.23142996022305,211.96963128961622,54.965756590966656,42.06841131685059,54.300121130957734,2.2018439605948243,2.7776287947586393,2.7505059875163993,3.207150821855517,2.376441633456426,0.3276266794800573,0.32675957582200943,0.29971214003890345,0.28406308652691536,0.14832229392178137,0.12156811730698353,0.43164909713140154,11.302808681834838,587.5220146419235,0.7122392889397652,0.39627422489209296,0.4925651608854659,22059.699185228932,0.48327083919664904
0,80217.76470588235,0.0,0.0,60.80392156862745,657.7058823529412,59.431372549019606,509.3333333333333,97.96078431372548,73.52941176470588,83.01960784313725,0.9215686274509803,4.980392156862745,6.2745098039215685,9.07843137254902,2.196078431372549,0.0,0.0392156862745098,0.5294117647058824,0.45098039215686275,0.0,0.0,0.0196078431372549,50.78431372549019,1480.9803921568628,0.0,0.0,1.0,80217.76470588235,0.803921568627451,6460.246012616661,0.0,0.0,22.63980530644479,273.4143591048317,46.76590848126905,211.7937361365219,60.340023461816365,51.40286098698262,66.13334716951151,0.2715243823233531,1.4351333886218574,1.7672400105537336,2.704390040322601,1.0773970084075275,0.0,0.1960392117639214,0.5041008302500836,0.5025425550218042,0.0,0.0,0.14002800840280097,9.300137043055217,353.99341746400194,0.0,0.0,0.0,6460.246012616661,0.4009791936316524
1,57646.43312101911,0.0,0.0,51.07006369426752,311.95222929936307,46.15605095541401,295.18152866242036,69.21019108280255,44.49044585987261,52.117834394904456,1.0828025477707006,3.5191082802547773,3.875796178343949,6.7834394904458595,3.464968152866242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98407643312102,819.108280254777,0.0,0.0,0.0,57646.43312101911,0.6719745222929936,23577.380879988556,0.0,0.0,29.103783588483125,273.04090603573724,48.9632239087392,261.3712589271874,64.51470663227381,46.480559381741024,52.178014298417295,0.3827224394785197,1.9583403600686244,3.0742442646249826,3.3417075303460693,2.4338629740842648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.539680242029577,587.851387183569,0.0,0.0,0.0,23577.380879988556,0.4702435498270279
2,28819.853211009173,1.0,0.0,54.58715596330275,20.495412844036696,4.779816513761468,19.211009174311926,7.504587155963303,4.935779816513762,10.79816513761468,1.81651376146789,1.9174311926605505,0.3577981651376147,3.0091743119266057,6.73394495412844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75229357798165,67.72477064220183,1.0,1.0,0.0,14409.926605504586,0.0,8800.433387713743,0.0,0.0,27.281865842966063,29.154322420529752,5.727383537728487,22.54258250121288,6.681405725359787,5.399374499708958,10.291834066577177,0.9638381762004771,1.1232265063528213,0.5185973921856794,0.6735122540615353,1.3308463043607948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.072581334126087,56.16178210867987,0.0,0.0,0.0,4400.216693856872,0.0
3,28917.990049751243,1.0,0.0,49.58706467661692,16.686567164179106,3.9502487562189055,16.52238805970149,5.8059701492537314,4.203980099502488,10.388059701492537,1.7014925373134329,1.8507462686567164,0.20398009950248755,2.970149253731343,6.91044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49751243781095,57.55721393034826,1.0,1.0,0.0,14458.995024875621,1.0,8137.311764944272,0.0,0.0,27.878551465971046,17.480453903051735,4.5207867056311075,13.357797208696377,6.259965189927533,4.972241353715848,9.868062460099143,0.8248925755478891,0.8874750364368046,0.4507594476014785,0.6317471627256749,1.386340614173683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786297934007074,34.89438293191334,0.0,0.0,0.0,4068.655882472136,0.0
4,37808.316666666666,1.0,1.0,51.6,31.033333333333335,2.2333333333333334,13.816666666666666,3.066666666666667,2.1666666666666665,9.1,2.45,1.7,0.36666666666666664,3.1,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.95,61.416666666666664,2.0,1.0,0.0,12602.772222222224,0.0,9972.223911720006,0.0,0.0,27.1075697727231,24.46025254984625,3.016152373677918,11.624771427192162,4.395169407917491,2.598348019295824,8.699698027099094,1.2132740408931055,0.720169471580551,0.5196696038591647,0.7745966692414834,1.3632588075164551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203812672951607,38.2716834149274,0.0,0.0,0.0,3324.0746372400013,0.0
5,37889.18656716418,0.9925373134328358,1.0149253731343284,51.134328358208954,31.19402985074627,2.029850746268657,14.119402985074627,3.1940298507462686,2.2238805970149254,8.783582089552239,2.3059701492537314,1.671641791044776,0.29850746268656714,3.111940298507463,6.149253731343284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05223880597015,61.54477611940298,2.0074626865671643,1.0,0.0,12592.291666666666,0.9925373134328358,9849.250161274565,0.086386842558136,0.12170929415494246,28.52193221390652,29.594115857930877,2.973416805016213,9.797225920183676,4.36058492996445,3.406411008020104,9.369894150707694,1.1187238429104023,0.8564318301792248,0.4909688250407908,0.7008099262994997,1.4638884396386824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.468710356390616,42.92459127837638,0.08638684255813599,0.0,0.0,3225.747296341877,0.086386842558136
